                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.48597,                0.33956,                 0.8287,                0.99134,                0.96268,                0.97608,                0.84915,                0.50405,                0.39836,                0.85785,             0.00089134,             0.00089134,             0.00089134
                     49,                0.53359,                0.36282,                0.84884,                0.98899,                0.95696,                0.97497,                0.85324,                0.50774,                0.38393,                0.85814,             0.00087484,             0.00087484,             0.00087484
                     50,                0.49942,                0.35149,                0.84141,                0.98926,                0.96145,                0.97562,                 0.8506,                0.52441,                0.35148,                0.86526,             0.00085834,             0.00085834,             0.00085834
                     51,                0.50885,                0.36135,                0.84894,                0.99136,                0.96262,                0.97617,                0.85932,                0.50775,                0.38569,                 0.8741,             0.00084184,             0.00084184,             0.00084184
                     52,                0.52217,                0.34995,                0.86123,                0.98456,                0.96493,                0.97683,                0.85393,                0.51513,                0.36989,                0.86316,             0.00082533,             0.00082533,             0.00082533
                     53,                0.51784,                0.35849,                0.86578,                0.98299,                0.96461,                0.97757,                0.86173,                0.51336,                0.36637,                0.87113,             0.00080883,             0.00080883,             0.00080883
                     54,                0.46786,                 0.3322,                0.84881,                0.98303,                0.96533,                 0.9753,                0.85695,                0.51572,                0.36624,                0.88174,             0.00079233,             0.00079233,             0.00079233
                     55,                0.50036,                0.35034,                0.83725,                0.98611,                0.95756,                0.97475,                0.85787,                0.50837,                0.33481,                0.87152,             0.00077582,             0.00077582,             0.00077582
                     56,                0.49226,                0.34376,                0.85539,                0.98944,                0.95953,                0.97341,                0.86311,                0.49977,                0.35032,                0.87354,             0.00075932,             0.00075932,             0.00075932
                     57,                0.48478,                0.33863,                0.85267,                0.98996,                0.95836,                0.97257,                 0.8584,                0.48965,                0.33971,                0.85962,             0.00074282,             0.00074282,             0.00074282
                     58,                0.45672,                 0.3233,                0.83618,                0.98456,                0.96476,                0.97571,                0.85925,                0.51207,                0.34005,                0.86467,             0.00072631,             0.00072631,             0.00072631
                     59,                0.50508,                0.33904,                0.86557,                0.98892,                0.96352,                0.97713,                0.84316,                 0.5219,                0.33419,                0.87469,             0.00070981,             0.00070981,             0.00070981
                     60,                0.49746,                0.33687,                0.87405,                0.98752,                0.96054,                0.97673,                0.85559,                0.50545,                0.32528,                0.87956,             0.00069331,             0.00069331,             0.00069331
                     61,                0.48874,                 0.3472,                0.84501,                0.98251,                 0.9653,                 0.9688,                0.85067,                0.50015,                0.31713,                0.87478,              0.0006768,              0.0006768,              0.0006768
                     62,                0.43414,                0.30986,                0.82648,                0.97243,                0.93534,                0.96646,                0.84892,                0.47676,                0.32843,                0.86099,              0.0006603,              0.0006603,              0.0006603
                     63,                0.46856,                0.31697,                0.80888,                 0.9771,                 0.9531,                0.96648,                0.86247,                0.47157,                0.33777,                0.85826,              0.0006438,              0.0006438,              0.0006438
                     64,                0.45694,                 0.3177,                0.83725,                0.97661,                0.93698,                0.96646,                0.86658,                0.48531,                0.32307,                 0.8575,             0.00062729,             0.00062729,             0.00062729
                     65,                0.45006,                0.30704,                0.83324,                0.97452,                 0.9443,                0.96374,                0.87543,                0.47686,                0.32463,                0.85957,             0.00061079,             0.00061079,             0.00061079
                     66,                0.45774,                0.32499,                0.84534,                0.98235,                0.94765,                0.96638,                0.88448,                 0.4686,                0.32082,                0.85808,             0.00059429,             0.00059429,             0.00059429
                     67,                0.45082,                0.31057,                0.84801,                0.98828,                0.95486,                0.96843,                0.88604,                0.46562,                0.30274,                0.85226,             0.00057778,             0.00057778,             0.00057778
                     68,                0.48498,                0.32443,                0.84483,                 0.9847,                0.95645,                0.97491,                0.86816,                0.48779,                0.30059,                0.85683,             0.00056128,             0.00056128,             0.00056128
                     69,                0.44424,                0.30465,                0.82922,                0.98548,                0.95548,                0.97413,                0.87068,                0.49221,                0.29935,                 0.8625,             0.00054478,             0.00054478,             0.00054478
                     70,                0.48405,                0.33137,                0.85508,                0.98275,                0.94978,                0.97148,                0.86853,                0.48374,                0.30105,                0.86147,             0.00052827,             0.00052827,             0.00052827
                     71,                0.46004,                0.32414,                0.83778,                0.97505,                0.92935,                0.96346,                 0.8729,                0.48278,                0.32374,                0.86241,             0.00051177,             0.00051177,             0.00051177
                     72,                0.46045,                 0.3094,                0.83771,                0.97246,                0.92871,                0.96245,                0.86015,                0.47915,                0.32592,                 0.8588,             0.00049527,             0.00049527,             0.00049527
                     73,                0.43652,                0.31028,                0.82452,                0.97197,                 0.9273,                0.96241,                0.85475,                  0.479,                0.32983,                0.85605,             0.00047876,             0.00047876,             0.00047876
                     74,                0.44682,                0.30968,                 0.8439,                0.97392,                0.92262,                0.96354,                0.85051,                0.47968,                0.32986,                0.84849,             0.00046226,             0.00046226,             0.00046226
                     75,                0.42663,                0.30307,                0.83692,                0.97716,                0.94563,                0.96823,                0.85932,                0.48733,                0.31505,                0.84399,             0.00044576,             0.00044576,             0.00044576
                     76,                0.43662,                0.29399,                0.83185,                0.98463,                0.95322,                0.97689,                0.86393,                0.48462,                0.30708,                0.84226,             0.00042925,             0.00042925,             0.00042925
                     77,                0.44748,                0.29841,                0.83152,                0.98889,                0.95534,                0.97587,                0.86571,                0.48828,                0.31315,                0.84138,             0.00041275,             0.00041275,             0.00041275
                     78,                0.42543,                 0.2998,                0.84206,                0.98302,                0.96189,                0.96695,                0.86384,                0.48838,                0.31151,                0.83953,             0.00039625,             0.00039625,             0.00039625
                     79,                0.45473,                 0.3111,                0.84822,                0.99149,                0.96423,                0.97476,                0.87452,                0.47923,                0.31416,                0.85332,             0.00037974,             0.00037974,             0.00037974
                     80,                0.45117,                0.30539,                0.82972,                0.98151,                0.94601,                0.97103,                0.86997,                0.47731,                0.31203,                0.86132,             0.00036324,             0.00036324,             0.00036324
                     81,                0.42471,                0.28221,                0.81764,                0.98089,                0.93902,                0.97124,                0.87237,                0.47268,                0.31209,                0.85882,             0.00034674,             0.00034674,             0.00034674
